term,POS,sentiment
acknowledgment,n,0
acme,n,0
acne,n,-1
acolyte,n,0
acorn,n,0
acoustic,adj,0
acoustical,adj,0
acoustically,adv,0
acoustics,n,0
acquaint,v,0
acquaintance,n,0
acquiesce,v,0
acquiescence,n,0
acquiescent,adj,0
acquire,v,0
acquirement,n,0
acquisition,n,0
acquisitive,adj,-1
acquisitiveness,n,-1
acquit,v,0
acquittal,n,0
acre,n,0
acreage,n,0
acrid,adj,-1
acrimonious,adj,-2
acrimony,n,-2
acrobat,n,0
acrobatic,adj,0
acrobatics,n,0
acronym,n,0
acropolis,n,0
across,adv,0
across-the-board,adj,0
acrylic,adj,0
act,v,0
acting,adj,0
action,v,0
activate,v,0
activation,n,0
active,adj,2
actively,adv,1
activism,n,0
activist,adj,0
activity,n,0
actor,n,0
actress,n,0
actual,adj,0
actuality,n,0
actualization,n,1
actualize,v,0
actually,adv,0
actuarial,adj,0
actuary,n,0
actuate,v,0
acuity,n,2
acumen,n,2
acupuncture,n,0
acupuncturist,n,0
acute,adj,0
acutely,adv,0
acuteness,n,0
ad,adv,0
adage,n,0
adagio,adj,0
adagio,adv,0
adamant,adj,-1
adamantly,adv,-1
adapt,v,0
adaptability,n,0
adaptable,adj,1
adaptation,n,0
adapter,n,0
adaptor,n,0
add,v,0
addend,n,0
addenda,n,0
addendum,n,0
adder,n,0
addict,v,-1
addicted,adj,-2
addiction,n,-2
addictive,adj,-1
addition,n,0
additional,adj,0
additionally,adv,0
additive,adj,0
addle,v,0
address,v,0
addressee,n,0
adduce,v,0
adenoidal,adj,0
adenoids,n,-1
adept,adj,2
adeptly,adv,2
adeptness,n,2
adequacy,n,0
adequate,adj,1
adequately,adv,-1
adhere,v,0
adherence,n,0
adherent,adj,0
adhesion,n,0
adhesive,adj,0
adieu,n,0
adieux,n,0
adios,n,0
adipose,adj,0
adj.,n,0
adjacent,adj,0
adjectival,adj,0
adjectivally,adv,0
adjective,adj,0
adjoin,v,0
adjoining,adj,0
adjourn,v,0
adjournment,n,0
adjudge,v,0
adjudicate,v,0
adjudication,n,0
adjudicator,n,0
adjunct,adj,0
adjure,v,0
adjust,v,0
adjustable,adj,1
adjuster,n,0
adjustment,n,0
adjustor,n,0
adjutant,n,0
ad-lib,adj,0
ad-lib,v,0
adman,n,0
administer,v,0
administrate,v,0
administration,n,0
administrative,adj,0
administrator,n,0
admirable,adj,2
admirably,adv,2
admiral,n,0
admiralty,n,0
admiration,n,2
admire,v,2
admirer,n,1
admiringly,adv,1
admissibility,n,0
admissible,adj,1
admission,n,0
admit,v,0
admittance,n,0
admittedly,adv,0
admixture,n,0
admonish,v,-1
admonishment,n,-1
admonition,n,-1
admonitory,adj,-1
ado,n,0
adobe,n,0
adolescence,n,0
adolescent,adj,0
adopt,v,0
adoption,n,0
adoptive,adj,0
adorable,adj,2
adorably,adv,2
adoration,n,2
adore,v,2
adorn,v,0
adornment,n,0
adrenal,adj,0
adrenaline,n,0
adrift,adj,-1
adrift,adv,-1
adroit,adj,1
adroitly,adv,2
adroitness,n,2
adulate,v,2
adulation,n,2
adult,adj,0
adulterant,adj,0
adulterate,v,-1
adulterated,adj,-1
adulteration,n,-1
adulterer,n,-2
adulteress,n,-2
adulterous,adj,-2
adultery,n,-2
adulthood,n,0
adv.,n,0
advance,v,1
advanced,adj,2
advancement,n,2
advances,n,0
advantage,v,1
advantageous,adj,2
advantageously,adv,2
advent,n,0
adventure,v,0
adventurer,n,2
adventuresome,adj,1
adventuress,n,2
adventurous,adj,2
adventurously,adv,0
adverb,n,0
adverbial,adj,0
adversarial,adj,-2
adversary,n,-2
adverse,adj,-2
adversely,adv,-2
adversity,n,-2
advert,v,0
advertise,v,0
advertisement,n,0
advertiser,n,0
advertising,n,0
advice,n,0
advisability,n,0
advisable,adj,1
advise,v,0
advisedly,adv,0
adviser,n,0
advisor,n,0
advisory,adj,0
advocacy,n,0
advocate,v,1
advt.,n,0
adz,n,0
adze,n,0
aegis,n,0
aeon,n,0
aerate,v,0
aeration,n,0
aerator,n,0
aerial,adj,0
aerialist,n,0
aerie,n,0
aerobatics,n,0
aerobic,adj,0
aerobics,n,0
aerodynamic,adj,0
aerodynamically,adv,0
aerodynamics,n,0
aeronautical,adj,0
aeronautics,n,0
aeroplane,n,0
aerosol,n,0
aerospace,n,0
aesthete,n,0
aesthetic,adj,1
aesthetically,adv,1
aesthetics,n,0
afar,adv,0
affability,n,1
affable,adj,2
affably,adv,1
affair,n,-1
affairs,n,0
affect,v,0
affectation,n,-1
affected,adj,0
affecting,adj,0
affection,n,2
affectionate,adj,2
affectionately,adv,2
affidavit,n,0
affiliate,v,0
affiliation,n,0
affinity,n,1
affirm,v,1
affirmation,n,2
affirmative,adj,2
affirmatively,adv,1
affix,v,0
afflict,v,-2
affliction,n,-2
affluence,n,1
affluent,adj,2
afford,v,1
affordable,adj,2
afforest,v,0
afforestation,n,0
affray,n,-1
affront,v,-1
afghan,adj,0
aficionado,n,0
afield,adv,0
afire,adj,1
aflame,adj,0
afloat,adj,0
aflutter,adj,0
afoot,adj,0
afoot,adv,0
aforementioned,adj,0
aforesaid,adj,0
afoul,adj,-1
afraid,adj,-2
afresh,adv,1
african,adj,0
african-american,adj,0
afrikaans,adj,0
afro-american,adj,0
aft,adj,0
aft,adv,0
after,adj,0
after,adv,0
afterbirth,n,0
afterburner,n,0
aftereffect,n,0
afterglow,n,2
afterlife,n,0
aftermath,n,0
afternoon,n,0
aftershave,n,0
afterthought,n,0
afterward,adv,0
afterwards,adv,0
afterword,n,0
again,adv,0
against,prep,-1
agape,adj,0
agate,n,0
agave,n,0
age,v,0
aged,adj,-1
ageless,adj,2
agency,n,0
agenda,n,0
agent,n,0
age-old,adj,0
agglomeration,n,0
agglutination,n,0
aggrandize,v,0
aggrandizement,n,-2
aggravate,v,-1
aggravation,n,-1
aggregate,adj,0
aggregate,v,0
aggregation,n,0
aggression,n,-2
aggressive,adj,-1
aggressively,adv,-2
aggressiveness,n,-2
aggressor,n,-2
aggrieved,adj,-2
aghast,adj,-2
agile,adj,1
agilely,adv,1
agility,n,2
agitate,v,-1
agitation,n,-1
agitator,n,-1
aglitter,adj,0
aglow,adj,1
agnostic,adj,0
agnosticism,n,0
ago,adj,0
ago,adv,0
agog,adj,1
agonize,v,-1
agonizing,adj,-2
agonizingly,adv,-2
agony,n,-2
agrarian,adj,0
agree,v,0
agreeable,adj,2
agreeably,adv,1
agreement,n,0
agribusiness,n,0
agricultural,adj,0
agriculture,n,0
agronomist,n,0
agronomy,n,0
aground,adj,0
aground,adv,0
ague,n,-1
ah,n,0
aha,n,0
ahead,adj,1
ahead,adv,1
ahem,n,0
ahoy,n,0
aid,v,1
aide,n,0
ail,v,-1
aileron,n,0
ailment,n,-2
aim,v,0
aimless,adj,-1
aimlessly,adv,-2
aimlessness,n,-2
air,v,0
airborne,adj,0
airbrush,v,0
air-condition,v,0
aircraft,n,0
airfield,n,0
airhead,n,-2
airily,adv,-1
airless,adj,-1
airlift,v,0
airline,n,0
airliner,n,0
airmail,v,0
airman,n,0
airplane,n,0
airport,n,0
airship,n,0
airsick,adj,-1
airsickness,n,-1
airspace,n,0
airstrip,n,0
airtight,adj,0
airwaves,n,0
airway,n,0
airy,adj,0
aisle,n,0
ajar,adj,0
akimbo,adj,0
akimbo,adv,0
akin,adj,0
alabaster,adj,0
alacrity,n,0
alarm,v,-1
alarming,adj,-2
alarmingly,adv,-2
alarmist,adj,-1
alas,adv,-1
albacore,n,0
albanian,adj,0
albatross,n,0
albeit,conj,0
albino,n,0
album,n,0
albumen,n,0
albumin,n,0
alchemist,n,0
alchemy,n,0
alcohol,n,0
alcoholic,adj,-1
alcoholism,n,-2
alcove,n,0
alder,n,0
alderman,n,0
ale,n,0
alert,adj,1
alert,v,0
alertly,adv,1
alertness,n,2
alfalfa,n,0
alfresco,adj,0
alfresco,adv,0
alga,n,0
algae,n,0
algebra,n,0
algebraic,adj,0
algebraically,adv,0
algorithm,n,0
alias,adv,0
alibi,v,0
alien,adj,-1
alienate,v,-2
alienated,adj,-2
alienation,n,-1
alight,adj,0
alight,v,0
align,v,0
alignment,n,0
alike,adj,0
alike,adv,0
alimentary,adj,0
alimony,n,0
alit,n,0
alive,adj,1
alkali,n,0
alkaline,adj,0
alkalinity,n,0
alkaloid,n,0
all,adj,0
all,adv,0
all-around,adj,0
allay,v,1
allegation,n,-2
allege,v,-1
alleged,adj,-1
allegedly,adv,-1
allegiance,n,0
allegorical,adj,0
allegorically,adv,0
allegory,n,0
allegro,adj,0
allegro,adv,0
alleluia,n,3
allergen,n,-1
allergic,adj,-1
allergy,n,-1
alleviate,v,1
alleviation,n,0
alley,n,0
alliance,n,0
allied,adj,1
alligator,v,0
alliteration,n,0
alliterative,adj,0
allocate,v,0
allocation,n,0
allot,v,0
allotment,n,0
all-out,adj,1
allover,adj,0
allow,v,0
allowable,adj,1
allowance,v,0
alloy,v,0
all-purpose,adj,2
all-round,adj,1
allspice,n,0
all-time,adj,0
allude,v,0
allure,v,1
alluring,adj,2
allusion,n,0
allusive,adj,0
alluvial,adj,0
ally,v,1
almanac,n,0
almighty,adj,2
almond,n,0
almost,adv,0
alms,n,0
aloe,n,0
aloft,adv,0
aloha,n,0
alone,adj,-1
alone,adv,0
along,adv,0
alongside,adv,0
aloof,adj,-1
aloof,adv,-1
aloofness,n,-1
aloud,adv,0
alpaca,n,0
alpha,adj,1
alphabet,n,0
alphabetic,adj,0
alphabetical,adj,0
alphabetically,adv,0
alphabetize,v,0
alphanumeric,adj,0
alpine,adj,0
already,adv,0
alright,adj,1
alright,adv,1
also,adv,0
altar,n,0
alter,v,0
alteration,n,0
altercation,n,-2
alternate,adj,0
alternate,v,0
alternately,adv,0
alternation,n,0
alternative,adj,0
alternatively,adv,0
alternator,n,0
although,conj,0
altimeter,n,0
altitude,n,0
alto,adj,0
altogether,adv,0
altruism,n,2
altruist,n,2
altruistic,adj,2
altruistically,adv,2
alum,n,0
aluminum,n,0
alumna,n,0
alumnae,n,0
alumni,n,0
alumnus,n,0
always,adv,0
am,n,0
amalgam,n,0
amalgamate,adj,0
amalgamate,v,0
amalgamation,n,0
amaryllis,n,0
amass,v,0
amateur,adj,-1
amateurish,adj,-1
amateurism,n,-1
amatory,adj,1
amaze,v,1
amazement,n,0
amazing,adj,3
amazingly,adv,3
ambassador,n,0
ambassadorial,adj,0
ambassadorship,n,0
amber,adj,0
ambiance,n,0
ambidextrous,adj,1
ambidextrously,adv,0
ambience,n,0
ambient,adj,0
ambiguity,n,-1
ambiguous,adj,-1
ambiguously,adv,0
ambition,n,0
ambitious,adj,0
ambitiously,adv,0
ambivalence,n,-1
ambivalent,adj,-1
ambivalently,adv,-1
amble,v,0
ambrosia,n,0
ambulance,n,0
ambulatory,adj,0
ambush,v,-1
ameba,n,0
amebae,n,0
ameliorate,v,1
amelioration,n,0
amen,excl,0
amenable,adj,1
amend,v,0
amendable,adj,1
amendment,n,0
amends,n,0
amenity,n,1
american,adj,0
americanize,v,0
amethyst,adj,0
amiability,n,1
amiable,adj,2
amiably,adv,2
amicability,n,0
amicable,adj,2
amicably,adv,2
amid,prep,0
amidships,adv,0
amidst,prep,0
amigo,n,0
amiss,adj,-1
amiss,adv,-1
amity,n,1
ammeter,n,0
ammo,n,0
ammonia,n,0
ammunition,n,0
amnesia,n,-2
amnesiac,adj,-1
amnesty,v,0
amniocentesis,n,0
amoeba,n,0
amoebae,n,0
amoebic,adj,0
amok,adj,-2
amok,adv,-2
among,prep,0
amongst,prep,0
amoral,adj,-2
amorality,n,-2
amorally,adv,-2
amorous,adj,0
amorously,adv,1
amorousness,n,0
amorphous,adj,0
amortize,v,0
amount,v,0
amour,n,0
amp,n,0
amperage,n,0
ampere,n,0
ampersand,n,0
amphetamine,n,0
amphibian,adj,0
amphibious,adj,0
amphitheater,n,0
ample,adj,1
amplification,n,0
amplifier,n,0
amplify,v,0
amplitude,n,0
amply,adv,2
ampule,n,0
amputate,v,-1
amputation,n,-2
amputee,n,0
amt.,n,0
amuck,adj,-2
amuck,adv,-2
amulet,n,0
amuse,v,1
amusement,n,0
amusing,adj,1
amusingly,adv,1
an,det,0
anachronism,n,-1
anachronistic,adj,-1
anaconda,n,0
anaerobic,adj,0
anaesthesia,n,0
anaesthetic,adj,0
anagram,v,0
anal,adj,-1
analgesia,n,0
analgesic,adj,0
analog,adj,0
analogous,adj,0
analogously,adv,0
analogue,adj,0
analogy,n,0
analyses,n,0
analysis,n,0
analyst,n,0
analytic,adj,0
analytical,adj,0
analytically,adv,0
analyze,v,0
anapest,n,0
anarchic,adj,-1
anarchically,adv,-2
anarchism,n,-2
anarchist,n,-2
anarchistic,adj,-1
anarchy,n,-2
anathema,n,-2
anatomic,adj,0
anatomical,adj,0
anatomically,adv,0
anatomist,n,0
anatomy,n,0
ancestor,n,0
ancestral,adj,0
ancestry,n,0
anchor,v,0
anchorage,n,0
anchorman,n,0
anchorperson,n,0
anchorwoman,n,0
anchovy,n,0
ancient,adj,0
ancillary,adj,0
and,conj,0
and/or,conj,0
andante,adj,0
andante,adv,0
andiron,n,0
androgynous,adj,0
android,n,0
anecdotal,adj,0
anecdote,n,0
anemia,n,-1
anemic,adj,-1
anemometer,n,0
anemone,n,0
anesthesia,n,0
anesthesiologist,n,0
anesthesiology,n,0
anesthetic,adj,0
anesthetist,n,0
anesthetize,v,0
aneurysm,n,-2
anew,adv,1
angel,n,2
angelic,adj,2
angelically,adv,2
anger,v,-2
angina,n,-2
angioplasty,n,0
angiosperm,n,0
angle,v,0
angler,n,0
angleworm,n,0
anglican,adj,0
anglicize,v,0
angling,n,0
anglo-saxon,adj,0
angolan,adj,0
angora,n,0
angrily,adv,-2
angry,adj,-2
angst,n,-1
anguish,v,-2
anguished,adj,-2
angular,adj,0
angularity,n,0
animal,adj,0
animate,adj,1
animate,v,0
animated,adj,0
animation,n,0
animator,n,0
animism,n,-1
animosity,n,-2
animus,n,-2
anise,n,0
ankh,n,0
ankle,n,0
anklet,n,0
annals,n,0
anneal,v,0
annex,v,0
annexation,n,0
annihilate,v,-3
annihilation,n,-2
anniversary,n,0
annotate,v,0
annotation,n,0
announce,v,0
announcement,n,0
announcer,n,0
annoy,v,-1
annoyance,n,-1
annoying,adj,-2
annoyingly,adv,-2
annual,adj,0
annually,adv,0
annuity,n,0
annul,v,0
annulment,n,-1
annunciation,n,0
anode,n,0
anodyne,adj,0
anoint,v,1
anointment,n,0
anomalous,adj,-1
anomaly,n,-1
anon,adv,0
anon.,adj,0
anonymity,n,0
anonymous,adj,0
anonymously,adv,0
anopheles,n,0
anorexia,n,-1
anorexic,adj,-2
another,adj,0
answer,v,0
answerable,adj,0
ant,n,0
antacid,adj,0
antagonism,n,-2
antagonist,n,-1
antagonistic,adj,-2
antagonistically,adv,-2
antagonize,v,-1
antarctic,adj,0
ante,v,0
anteater,n,0
antebellum,adj,0
antecedent,adj,0
antechamber,n,0
antedate,v,0
antediluvian,adj,0
antelope,n,0
antenna,n,0
antennae,n,0
anterior,adj,0
anteroom,n,0
anthem,n,0
anther,n,0
anthill,n,0
anthologist,n,0
anthologize,v,0
anthology,n,0
anthracite,n,0
anthrax,n,-2
anthropoid,adj,0
anthropological,adj,0
anthropologist,n,0
anthropology,n,0
anthropomorphic,adj,0
anthropomorphism,n,0
antiabortion,adj,0
antiaircraft,adj,0
antibiotic,adj,0
antibody,n,0
antic,adj,-1
antic,v,0
anticipate,v,0
anticipation,n,0
anticipatory,adj,0
anticlimactic,adj,-1
anticlimax,n,-1
antics,n,0
antidepressant,n,0
antidote,n,0
antifreeze,n,0
antigen,n,0
antihero,n,-1
antihistamine,n,0
antiknock,adj,0
antimatter,n,0
antimony,n,0
antiparticle,n,0
antipasto,n,0
antipathy,n,-2
antiperspirant,n,0
antipodes,n,0
antiquarian,adj,0
antiquated,adj,-1
antique,adj,1
antique,v,0
antiquity,n,0
anti-semite,adj,-2
anti-semitic,adj,-2
antiseptic,adj,0
antiseptically,adv,0
antisocial,adj,-1
antitheses,n,0
antithesis,n,0
antithetical,adj,-1
antitoxin,n,0
antitrust,adj,-1
antiwar,adj,0
antler,n,0
antonym,n,0
anus,n,0
anvil,n,0
anxiety,n,-1
anxious,adj,-1
anxiously,adv,-1
any,adj,0
any,adv,0
anybody,n,0
anyhow,adv,0
anymore,adv,0
anyone,n,0
anyplace,adv,0
anything,n,0
anytime,n,0
anyway,adv,0
anywhere,adv,0
a-ok,adj,2
aorta,n,0
apace,adv,0
apart,adj,0
apart,adv,0
apartheid,n,-1
apartment,n,0
apathetic,adj,-1
apathetically,adv,-1
apathy,n,-1
ape,v,-1
aperitif,n,0
aperture,n,0
apex,n,0
aphid,n,0
aphorism,n,0
aphrodisiac,adj,0
apiary,n,0
apices,n,0
apiece,adv,0
aplenty,adj,0
aplomb,n,0
apocalypse,n,-2
apocalyptic,adj,-2
apocryphal,adj,-1
apogee,n,0
apolitical,adj,0
apologetic,adj,0
apologetically,adv,-1
apologia,n,0
apologist,n,0
apologize,v,0
apology,n,0
apoplectic,adj,-2
apoplexy,n,-2
apostasy,n,-2
apostate,adj,-1
apostle,n,0
apostolic,adj,0
apostrophe,n,0
apothecary,n,0
apotheosis,n,0
appall,v,-2
appalling,adj,-3
appallingly,adv,-2
apparatus,n,0
apparel,v,0
apparent,adj,0
apparently,adv,0
apparition,n,0
appeal,n,1
appealing,adj,2
appear,v,0
appearance,n,0
appease,v,0
appeasement,n,0
appeaser,n,0
appellate,adj,0
appellation,n,0
append,v,0
appendage,n,0
appendectomy,n,0
appendices,n,0
appendicitis,n,0
appendix,n,0
appertain,v,0
appetite,n,0
appetizer,n,0
appetizing,adj,2
applaud,v,1
applause,n,2
apple,n,0
applejack,n,0
applesauce,n,0
appliance,n,0
applicability,n,0
applicable,adj,0
applicant,n,0
application,n,0
applicator,n,0
applied,adj,0
applique,v,0
apply,v,0
appoint,v,0
appointee,n,0
appointment,n,0
apportion,v,0
apportionment,n,0
apposite,adj,2
apposition,n,0
appositive,adj,0
appraisal,n,0
appraise,v,0
appraiser,n,0
appreciable,adj,0
appreciably,adv,0
appreciate,v,1
appreciation,n,2
appreciative,adj,2
appreciatively,adv,2
apprehend,v,0
apprehension,n,-1
apprehensive,adj,-1
apprehensively,adv,-1
apprehensiveness,n,-1
apprentice,v,0
apprenticeship,n,0
apprise,v,0
approach,v,0
approachable,adj,2
approbation,n,2
appropriate,adj,2
appropriate,v,0
appropriately,adv,1
appropriateness,n,0
appropriation,n,0
approval,n,1
approve,v,1
approvingly,adv,2
approx.,adv,0
approximate,adj,0
approximate,v,0
approximately,adv,0
approximation,n,0
appurtenance,n,0
apricot,n,0
apron,n,0
apropos,adj,0
apropos,adv,0
apse,n,0
apt,adj,2
apt.,n,0
aptitude,n,2
aptly,adv,2
aptness,n,0
aqua,n,0
aquamarine,n,0
aquanaut,n,0
aquaplane,v,0
aquaria,n,0
aquarium,n,0
aquatic,adj,0
aqueduct,n,0
aqueous,adj,0
aquifer,n,0
aquiline,adj,0
arabesque,n,0
arabian,adj,0
arabic,adj,0
arable,adj,2
arachnid,n,0
arbiter,n,0
arbitrarily,adv,0
arbitrariness,n,0
arbitrary,adj,-1
arbitrate,v,0
arbitration,n,0
arbitrator,n,0
arbor,n,0
arboreal,adj,0
arboreta,n,0
arboretum,n,0
arborvitae,n,0
arbutus,n,0
arc,v,0
arcade,n,0
arcane,adj,0
arch,adj,0
arch,v,0
archaeological,adj,0
archaeologist,n,0
archaeology,n,0
archaic,adj,-1
archaically,adv,0
archaism,n,0
archangel,n,0
archbishop,n,0
archbishopric,n,0
archdiocese,n,0
archduke,n,0
archenemy,n,-2
archeology,n,0
archer,n,0
archery,n,0
archetype,n,0
archipelago,n,0
architect,n,0
architectural,adj,0
architecturally,adv,0
architecture,n,0
archive,v,0
archives,n,0
archivist,n,0
archly,adv,0
archway,n,0
arctic,adj,0
ardent,adj,1
ardently,adv,2
ardor,n,0
arduous,adj,-2
arduously,adv,-1
arduousness,n,-1
are,v,0
area,n,0
arena,n,0
argentine,adj,0
argon,n,0
argot,n,0
arguable,adj,0
arguably,adv,0
argue,v,-1
argument,n,-1
argumentation,n,0
argumentative,adj,-1
aria,n,0
arid,adj,-1
aridity,n,-1
aright,adv,1
arise,v,0
arisen,v,0
aristocracy,n,0
aristocrat,n,0
aristocratic,adj,0
aristocratically,adv,0
arithmetic,adj,0
arithmetical,adj,0
arithmetically,adv,0
ark,n,0
arm,v,0
armada,n,0
armadillo,n,0
armament,n,0
armature,n,0
armband,n,0
armchair,n,0
armed,adj,0
armenian,adj,0
armful,n,0
armhole,n,0
armistice,n,0
armor,v,0
armored,adj,0
armorer,n,0
armory,n,0
armpit,n,0
armrest,n,0
arms,n,0
army,n,0
aroma,n,0
aromatic,adj,1
arose,v,0
around,adv,0
around-the-clock,adj,0
arousal,n,0
arouse,v,0
arpeggio,n,0
arraign,v,-2
arraignment,n,-1
arrange,v,0
arrangement,n,0
arrant,adj,-1
array,v,0
arrears,n,-1
arrest,v,-1
arresting,adj,1
arrival,n,0
arrive,v,0
arrogance,n,-2
arrogant,adj,-2
arrogantly,adv,-2
arrogate,v,-1
arrow,n,0
arrowhead,n,0
arrowroot,n,0
arroyo,n,0
arsenal,n,0
arsenic,n,-2
arson,n,-2
arsonist,n,-2
art,n,0
arterial,adj,0
arteriosclerosis,n,-1
artery,n,0
artful,adj,1
artfully,adv,2
artfulness,n,0
arthritic,adj,-1
arthritis,n,-1
arthropod,n,0
artichoke,n,0
article,v,0
articulate,adj,2
articulate,v,0
articulately,adv,2
articulateness,n,2
articulation,n,0
artifact,n,0
artifice,n,0
artificial,adj,-1
artificiality,n,-1
artificially,adv,0
artillery,n,0
artisan,n,0
artist,n,0
artistic,adj,2
artistically,adv,2
artistry,n,0
artless,adj,0
artlessly,adv,1
artlessness,n,1
artwork,n,0
arty,adj,0
aryan,adj,0
as,adv,0
asap,adv,0
asbestos,n,0
ascend,v,0
ascendancy,n,1
ascendant,adj,2
ascendency,n,2
ascendent,adj,1
ascension,n,1
ascent,n,0
ascertain,v,0
ascertainable,adj,0
ascetic,adj,0
asceticism,n,0
ascot,n,0
ascribe,v,0
aseptic,adj,1
asexual,adj,0
asexually,adv,0
ash,v,0
ashamed,adj,-2
ashamedly,adv,-2
ashen,adj,-1
ashes,n,0
ashore,adv,0
ashram,n,0
ashtray,n,0
ashy,adj,-1
asian,adj,0
asiatic,adj,0
aside,adv,0
asinine,adj,-2
ask,v,0
askance,adj,-1
askance,adv,-1
askew,adj,-1
askew,adv,-1
aslant,adj,0
aslant,adv,0
asleep,adj,0
asleep,adv,0
asp,n,0
asparagus,n,0
aspartame,n,0
aspect,n,0
aspen,n,0
asperity,n,-1
aspersion,n,-1
asphalt,v,0
asphyxia,n,-2
asphyxiate,v,-2
asphyxiation,n,-2
aspic,n,0
aspirant,adj,0
aspirate,v,0
aspiration,n,1
aspire,v,1
aspirin,n,0
ass,n,-2
assail,v,-2
assailable,adj,-1
assailant,n,-2
assassin,n,-2
assassinate,v,-2
assassination,n,-2
assault,v,-2
assay,v,0
assemblage,n,0
assemble,v,0
assembler,n,0
assembly,n,0
assemblyman,n,0
assemblywoman,n,0
assent,v,0
assert,v,0
assertion,n,0
assertive,adj,0
assertively,adv,0
